
index,time,bid,bidvol,ask,askvol
127,2014-11-05 11:38:00,33.86,4444.00,33.87,7577.00
128,2014-11-05 11:39:00,33.85,7208.00,33.86,7100.00
129,2014-11-05 11:40:00,33.82,2254.00,33.83,8505.00
130,2014-11-05 11:41:00,33.84,4500.00,33.85,7060.00
131,2014-11-05 11:42:00,33.86,5700.00,33.87,5460.00
132,2014-11-05 11:43:00,33.86,4192.00,33.87,7448.00
133,2014-11-05 11:44:00,33.86,2092.00,33.87,12598.00
134,2014-11-05 11:45:00,33.85,7004.00,33.86,4161.00
135,2014-11-05 11:46:00,33.86,7051.00,33.87,6800.00
136,2014-11-05 11:47:00,33.83,5315.00,33.84,7690.00
137,2014-11-05 11:48:00,33.83,13069.00,33.84,1400.00
138,2014-11-05 11:49:00,33.84,4693.00,33.85,4800.00
139,2014-11-05 11:50:00,33.83,5629.00,33.84,3300.00
140,2014-11-05 11:51:00,33.85,4900.00,33.86,8129.00
141,2014-11-05 11:52:00,33.86,6091.00,33.87,7182.00
142,2014-11-05 11:53:00,33.83,3229.00,33.84,8459.00
143,2014-11-05 11:54:00,33.83,6529.00,33.84,6849.00
144,2014-11-05 11:55:00,33.84,6709.00,33.85,3700.00
145,2014-11-05 11:56:00,33.86,2635.00,33.87,5062.00
146,2014-11-05 11:57:00,33.85,18255.00,33.86,4000.00
147,2014-11-05 11:58:00,33.85,18965.00,33.86,2700.00
148,2014-11-05 11:59:00,33.85,18713.00,33.86,4550.00
149,2014-11-05 12:00:00,33.87,4300.00,33.88,2000.00
150,2014-11-05 12:01:00,33.89,948.00,33.90,9610.00
151,2014-11-05 12:02:00,33.90,5400.00,33.91,3121.00
152,2014-11-05 12:03:00,33.87,5596.00,33.88,5300.00
153,2014-11-05 12:04:00,33.91,7489.00,33.92,420.00
154,2014-11-05 12:05:00,33.91,1934.00,33.92,6379.00
155,2014-11-05 12:06:00,33.90,2034.00,33.91,5479.00
156,2014-11-05 12:07:00,33.90,3134.00,33.91,6162.00
157,2014-11-05 12:08:00,33.90,3962.00,33.91,5811.00
158,2014-11-05 12:09:00,33.90,7913.00,33.91,1300.00
159,2014-11-05 12:10:00,33.91,6400.00,33.92,4601.00
160,2014-11-05 12:11:00,33.91,7068.00,33.92,2850.00
161,2014-11-05 12:12:00,33.89,5863.00,33.90,3704.00
162,2014-11-05 12:13:00,33.88,5198.00,33.89,4273.00
163,2014-11-05 12:14:00,33.87,6270.00,33.88,4792.00
164,2014-11-05 12:15:00,33.87,3955.00,33.88,4696.00
165,2014-11-05 12:16:00,33.88,3799.00,33.89,5700.00
166,2014-11-05 12:17:00,33.85,17175.00,33.86,3170.00
167,2014-11-05 12:18:00,33.85,18575.00,33.86,1854.00
168,2014-11-05 12:19:00,33.86,6471.00,33.87,4304.00
169,2014-11-05 12:20:00,33.85,17327.00,33.86,4746.00
170,2014-11-05 12:21:00,33.86,627.00,33.87,7122.00
171,2014-11-05 12:22:00,33.87,2700.00,33.88,8497.00
172,2014-11-05 12:23:00,33.86,1880.00,33.87,3701.00
173,2014-11-05 12:24:00,33.86,7825.00,33.87,1501.00
174,2014-11-05 12:25:00,33.86,2579.00,33.87,7780.00
175,2014-11-05 12:26:00,33.87,4882.00,33.88,5788.00
