Date,Open,High,Low,Close,Volume
2021-08-12 11:45:00,148.24,148.345,148.18,148.22,509800
2021-08-12 11:50:00,148.23,148.2999,148.18,148.245,446617
2021-08-12 11:55:00,148.245,148.25,148.02,148.0398,622907
2021-08-12 12:00:00,148.0399,148.1599,147.87,147.8755,757524
2021-08-12 12:05:00,147.87,147.91,147.7,147.7649,729473
2021-08-12 12:10:00,147.7601,148.14,147.72,148.11,614374
2021-08-12 12:15:00,148.105,148.12,147.95,148.045,478425
2021-08-12 12:20:00,148.05,148.12,148.02,148.115,299090
2021-08-12 12:25:00,148.112,148.2,148.09,148.17,442806
2021-08-12 12:30:00,148.175,148.3799,148.1708,148.361,594162
2021-08-12 12:35:00,148.3602,148.4,148.25,148.38,540233
2021-08-12 12:40:00,148.38,148.4356,148.21,148.225,466913
2021-08-12 12:45:00,148.23,148.41,148.2,148.3774,484694
2021-08-12 12:50:00,148.375,148.43,148.32,148.36,308930
2021-08-12 12:55:00,148.37,148.44,148.2699,148.3003,299174
2021-08-12 13:00:00,148.3,148.33,148.12,148.235,444043
2021-08-12 13:05:00,148.24,148.3099,148.221,148.24,339065
2021-08-12 13:10:00,148.245,148.245,148.09,148.15,482910
2021-08-12 13:15:00,148.155,148.25,148.065,148.0978,424383
2021-08-12 13:20:00,148.095,148.2,148.085,148.155,312270
2021-08-12 13:25:00,148.1589,148.24,148.14,148.2399,324415
2021-08-12 13:30:00,148.24,148.36,148.2,148.315,461276
2021-08-12 13:35:00,148.327,148.42,148.3117,148.42,363428
2021-08-12 13:40:00,148.42,148.45,148.32,148.39,389973
2021-08-12 13:45:00,148.3828,148.395,148.23,148.27,363601
2021-08-12 13:50:00,148.27,148.36,148.245,148.355,309628
2021-08-12 13:55:00,148.36,148.42,148.32,148.335,352870
2021-08-12 14:00:00,148.3397,148.38,148.23,148.24,331034
2021-08-12 14:05:00,148.231,148.33,148.22,148.3101,306086
2021-08-12 14:10:00,148.32,148.44,148.32,148.4299,343791
2021-08-12 14:15:00,148.43,148.55,148.39,148.55,814291
2021-08-12 14:20:00,148.54,148.62,148.52,148.54,582894
2021-08-12 14:25:00,148.5476,148.69,148.505,148.6698,535791
2021-08-12 14:30:00,148.665,148.75,148.64,148.74,460477
2021-08-12 14:35:00,148.73,148.85,148.71,148.755,642340
2021-08-12 14:40:00,148.755,148.7561,148.62,148.635,476800
2021-08-12 14:45:00,148.6327,148.74,148.63,148.6499,468646
2021-08-12 14:50:00,148.6461,148.81,148.62,148.79,483677
2021-08-12 14:55:00,148.785,148.8,148.67,148.705,417615
2021-08-12 15:00:00,148.71,148.785,148.675,148.765,437575
2021-08-12 15:05:00,148.765,148.89,148.765,148.85,705806
2021-08-12 15:10:00,148.85,148.87,148.72,148.7736,516023
2021-08-12 15:15:00,148.7799,148.7799,148.61,148.66,536543
2021-08-12 15:20:00,148.66,148.775,148.65,148.72,487529
2021-08-12 15:25:00,148.72,148.75,148.65,148.715,437608
2021-08-12 15:30:00,148.71,148.77,148.65,148.695,526032
2021-08-12 15:35:00,148.695,148.7318,148.63,148.66,492949
2021-08-12 15:40:00,148.66,148.7,148.63,148.665,583208
2021-08-12 15:45:00,148.6644,148.84,148.57,148.835,1228688
2021-08-12 15:50:00,148.83,148.955,148.7,148.955,1582574
