,MKT,SMB,HML,UMD,RF
YYYY-00-DD 00:00:SS,0.0138,-0.0189,0.0053,0.0291,0.0019
YYYY-00-DD 00:00:SS,-0.0242,-0.0224,-0.0469,0.078,0.0016
YYYY-00-DD 00:00:SS,0.0161,-0.0087,0.0695,-0.0667,0.0018
YYYY-00-DD 00:00:SS,0.0221,0.0039,-0.0173,0.0044,0.0015
YYYY-00-DD 00:00:SS,0.0399,0.0103,-0.0193,-0.0248,0.0012
YYYY-00-DD 00:00:SS,0.0291,0.0081,0.0205,-0.0213,0.0014
YYYY-00-DD 00:00:SS,0.0002,-0.0295,-0.0614,0.0556,0.0013
YYYY-00-DD 00:00:SS,-0.0801,0.0114,-0.038,-0.0011,0.0012
YYYY-00-DD 00:00:SS,-0.1326,-0.0491,-0.1384,0.0866,0.0012
YYYY-00-DD 00:00:SS,0.1365,0.0275,-0.0139,-0.0549,0
YYYY-00-DD 00:00:SS,0.0559,0.025,-0.0504,0.0068,0.0001
YYYY-00-DD 00:00:SS,0.0247,0.0272,-0.0234,-0.0074,0.0001
YYYY-00-DD 00:00:SS,0.0578,-0.0217,-0.0138,0.0762,0.0001
YYYY-00-DD 00:00:SS,0.0764,-0.0024,-0.0293,0.0052,0.0001
YYYY-00-DD 00:00:SS,-0.0362,0.0007,-0.025,0.0306,0.0001
YYYY-00-DD 00:00:SS,-0.0209,0.0445,0.0404,-0.0302,0.0001
YYYY-00-DD 00:00:SS,0.1248,0.0549,0.0212,-0.1224,0.0001
YYYY-00-DD 00:00:SS,0.0464,0.0482,-0.0135,-0.0241,0.0001
YYYY-00-DD 00:00:SS,-0.0003,0.0719,0.0285,0.0436,0
YYYY-00-DD 00:00:SS,0.0278,0.0211,0.0708,-0.0767,0
YYYY-00-DD 00:00:SS,0.0308,-0.0248,0.074,-0.0583,0
YYYY-00-DD 00:00:SS,0.0493,-0.0309,-0.0074,0.0101,0
YYYY-00-DD 00:00:SS,0.0029,-0.0022,0.0705,0.0052,0
