Date,MA5,MA10,MA20,MACD,K,D,J,RSI6,RSI12,RSI24,BIAS5,BIAS10,BIAS20,OBV,Signal,Close
08-21,29.414,29.432,29.7755,-0.27981,0.246791,0.280717,0.348568,0.5,0.583333,0.458333,-0.005576,-0.006184,-0.017649,996392365.0,1.0,29.25
08-22,29.452,29.52,29.691,-0.22538,0.446285,0.335906,0.115149,0.5,0.583333,0.458333,0.014193,0.011856,0.006029,1021260772.0,1.0,29.87
08-23,29.548,29.584,29.6655,-0.174512,0.545346,0.405719,0.126467,0.666667,0.666667,0.5,0.01462,0.013386,0.010602,1042396877.0,1.0,29.98
08-24,29.738,29.657,29.66,-0.111406,0.693571,0.50167,0.117868,0.833333,0.666667,0.5,0.020243,0.02303,0.022927,1061699889.0,1.0,30.34
08-25,29.982,29.732,29.6655,-0.055722,0.775106,0.592815,0.228234,1.0,0.666667,0.541667,0.016276,0.024822,0.027119,1080454137.0,1.0,30.47
08-28,30.278,29.846,29.695,0.001628,0.781889,0.65584,0.403742,0.833333,0.583333,0.541667,0.014928,0.029619,0.034854,1114730869.0,-1.0,30.73
08-29,30.344,29.898,29.6975,0.008451,0.656918,0.656199,0.654762,0.666667,0.583333,0.541667,-0.004746,0.010101,0.016921,1093752548.0,-1.0,30.2
08-30,30.318,29.933,29.686,-0.009367,0.477401,0.5966,0.834997,0.5,0.5,0.541667,-0.015436,-0.002773,0.005524,1066561249.0,-1.0,29.85
08-31,30.196,29.967,29.7185,-0.029619,0.319664,0.504288,0.873535,0.333333,0.5,0.541667,-0.015433,-0.007909,0.000387,1050437070.0,-1.0,29.73
09-01,30.012,29.997,29.73,-0.054911,0.156157,0.388244,0.852419,0.333333,0.583333,0.541667,-0.015394,-0.014901,-0.006054,1034869178.0,1.0,29.55
09-04,29.786,30.032,29.732,-0.068484,0.05384,0.276776,0.722649,0.166667,0.583333,0.541667,-0.006245,-0.014385,-0.00444,1050865051.0,-1.0,29.6
09-05,29.65,29.997,29.7585,-0.081635,-0.023753,0.1766,0.577305,0.166667,0.5,0.541667,-0.004384,-0.015902,-0.008015,1037181521.0,-1.0,29.52
09-06,29.528,29.923,29.7535,-0.106859,-0.122891,0.07677,0.476091,0.333333,0.5,0.541667,-0.009753,-0.022825,-0.017258,1015775253.0,1.0,29.24
09-07,29.436,29.816,29.7365,-0.120239,-0.151309,0.000743,0.304848,0.333333,0.416667,0.5,-0.005639,-0.018312,-0.015688,1028584433.0,-1.0,29.27
09-08,29.37,29.691,29.7115,-0.129898,-0.167731,-0.055415,0.169218,0.5,0.416667,0.541667,-0.005107,-0.015863,-0.016542,1015455521.0,1.0,29.22
09-11,29.332,29.559,29.7025,-0.121306,-0.090488,-0.067106,-0.020342,0.5,0.416667,0.541667,0.002659,-0.005041,-0.009848,1033852049.0,1.0,29.41
09-12,29.402,29.526,29.712,-0.082673,0.18288,0.016223,-0.317091,0.5,0.333333,0.5,0.015917,0.011651,0.005318,1062517935.0,-1.0,29.87
